En	Aorist	Acc	Neg Ac	Unac	TRANS	PREPS
stand up	ⴱⴷⴷ	ⴱⴷⴷ	ⴱⴷⴷⵉ	ⵜⵜⴱⴷⴰⴷ	Intr	ⵖⴼ/ⴳ...
get up	ⵏⴽⵔ	ⵏⴽⵔ	ⵏⴽⵉⵔ	ⵏⴽⴽⵔ	Intr	
put	ⵙⵔⵙ	ⵙⵔⵙ	ⵙⵔⵉⵙ	ⵙⵔⵓⵙ	Trans	
put down	ⵙⵔⵙ	ⵙⵔⵙ	ⵙⵔⵉⵙ	ⵙⵔⵓⵙ	Trans	
write	ⴰⵔⴰ	ⵓⵔⵉ|ⵓⵔⴰ	ⵓⵔⵉ	ⵜⵜⴰⵔⴰ	Trans	
catch	ⴰⵎⵥ	ⵓⵎⵥ	ⵓⵎⵉⵥ	ⵜⵜⴰⵎⵥ	Trans	
bring	ⴰⵡⵉ (ⴷ)	ⵉⵡⵉ (ⴷ)	ⵉⵡⵉ (ⴷ)	ⵜⵜⴰⵡⵉ (ⴷ)	Trans	
kill	ⵏⵖ	ⵏⵖⵉ|ⵏⵖⴰ	ⵏⵖⵉ	ⵏⵇⵇⴰ	Trans	
sell	ⵣⵣⵏⵣ	ⵣⵣⵏⵣⵉ|ⵣⵣⵏⵣⴰ	ⵣⵣⵏⵣⵉ	ⵣⵣⵏⵣⴰ	Trans	
pass	ⵣⵔⵉ	ⵣⵔⵉ	ⵣⵔⵉ	ⵣⵔⴰⵢ	Trans	
hold	ⴰⵎⵥ	ⵓⵎⵥ	ⵓⵎⵉⵥ	ⵜⵜⴰⵎⵥ	Trans	
wash	ⵙⵙⵉⵔⴷ	ⵙⵙⵉⵔⴷ	ⵙⵙⵉⵔⴷ	ⵙⵙⵉⵔⵉⴷ	Trans	
buy	ⵙⵖ	ⵙⵖⵉ|ⵙⵖⴰ	ⵙⵖⵉ	ⵙⵙⴰⵖ	Trans	
go up	ⴰⵍⵉ	ⵓⵍⵉ	ⵓⵍⵉ	ⵜⵜⴰⵍⵉ	Intr	ⵙ/ⵖⵔ
remove	ⴽⴽⵙ	ⴽⴽⵙ	ⴽⴽⵉⵙ	ⵜⵜⴽⴽⵙ	Trans	
delete	ⴽⴽⵙ	ⴽⴽⵙ	ⴽⴽⵉⵙ	ⵜⵜⴽⴽⵙ	Trans	
remember	ⴽⵯⵜⵉ	ⴽⵯⵜⵉ	ⴽⵯⵜⵉ	ⴽⵯⵜⵜⵉ	Trans	
forget	ⵜⵜⵓ	ⵜⵜⵓ	ⵜⵜⵓ	ⵜⵜⴻⵜⵜⵓ	Trans	
memorize	ⵃⵙⵓ	ⵃⵙⵉ|ⵃⵙⴰ	ⵃⵙⵉ	ⵃⵙⵙⵓ	Trans	
explain	ⵙⵙⴼⵔⵓ	ⵙⵙⴼⵔⵉ|ⵙⵙⴼⵔⴰ	ⵙⵙⴼⵔⵉ	ⵙⵙⴼⵔⴰⵡ	Trans	
mean	ⵙⵙⵓⵎⴽ	ⵙⵙⵓⵎⴽ	ⵙⵙⵓⵎⴽ	ⵜⵜⵙⵓⵎⴽ	Trans	
share	ⴷⵔⵓ	ⴷⵔⵉ|ⴷⵔⴰ	ⴷⵔⵉ	ⴷⵔⵔⵓ	Trans	
send	ⴰⵣⵏ	ⵓⵣⵏ	ⵓⵣⵏ	ⵜⵜⴰⵣⵏ	Trans	
clean	ⵙⵙⵉⵣⴷⴳ	ⵙⵙⵉⵣⴷⴳ	ⵙⵙⵉⵣⴷⴳ	ⵙⵙⵉⵣⴷⵉⴳ	Trans	
work	ⵙⵡⵓⵔⵉ	ⵙⵡⵓⵔⵉ	ⵙⵡⵓⵔⵉ	ⵙⵡⵓⵔⵉⵢ	Intr	ⵖⴼ/...
run	ⴰⵣⵣⵍ	ⵓⵣⵣⵍ	ⵓⵣⵣⵉⵍ	ⵜⵜⴰⵣⵣⵍ	Intr	ⵙ/...
make	ⵙⴽⵔ	ⵙⴽⵔ	ⵙⴽⵉ	ⵙⴽⴰⵔ	Trans	
try	ⴰⵔⵎ	ⵓⵔⵎ	ⵓⵔⵉⵎ	ⵜⵜⴰⵔⵎ	Trans	
hate	ⴽⵙⵏ	ⴽⵙⵏ	ⴽⵙⵉⵏ	ⴽⵙⵙⵏ	Trans	
prefer	ⵙⵎⵢⵉⴼⵉ	ⵙⵎⵢⵉⴼⵉ	ⵙⵎⵢⵉⴼⵉ	ⵙⵎⵢⵉⴼⵉⵢ	Trans	
play	ⵓⵔⴰⵔ	ⵓⵔⴰⵔ	ⵓⵔⴰⵔ	ⵜⵜⵓⵔⴰⵔ	Trans	
win	ⵔⵣ	ⵔⵣ	ⵔⵣ	ⵔⵔⴰⵣ	Trans	
beat	ⵏⵔⵓ	ⵏⵔⵉ|ⵏⵔⴰ	ⵏⵔⵉ	ⵜⵜⵏⵔⵓ	Trans	
help	ⴰⵡⵙ	ⵉⵡⵙ	ⵉⵡⵙ	ⵜⵜⴰⵡⵙ	Trans	
understand	ⵔⵎⵙ	ⵔⵎⵙ	ⵔⵎⵉⵙ	ⵜⵜⵔⵎⴰⵙ	Trans	
look for	ⵙⵉⴳⴳⵍ	ⵙⵉⴳⴳⵍ	ⵙⵉⴳⴳⵍ	ⵙⵉⴳⴳⵉⵍ	Trans	
search	ⵔⵣⵓ	ⵔⵣⵉ|ⴰ	ⵔⵣⵉ	ⵔⵣⵣⵓ	Trans	
walk	ⵣⵣⵉⴳⵣ	ⵣⵣⵉⴳⵣ	ⵣⵣⵉⴳⵣ	ⵣⵣⵉⴳⵉⵣ	Intr	
use	ⵙⵙⵎⵔⵙ	ⵙⵙⵎⵔⵙ	ⵙⵙⵎⵔⵙ	ⵙⵙⵎⵔⴰⵙ	Trans	
wear	ⵍⵙ	ⵍⵙⵉ|ⵍⵙⴰ	ⵍⵙⵉ	ⵍⵙⵙⴰ	Trans	
count	ⵙⵙⵉⴹⵏ	ⵙⵙⵉⴹⵏ	ⵙⵙⵉⴹⵏ	ⵙⵙⵉⴹⵉⵏ	Trans	
learn	ⵍⵎⴷ	ⵍⵎⴷ	ⵍⵎⵉⴷ	ⵍⵎⵎⴷ	Trans	
teach	ⵙⵙⵍⵎⴷ	ⵙⵙⵍⵎⴷ	ⵙⵙⵍⵎⴷ	ⵙⵙⵍⵎⴰⴷ	Trans	
pray	ⵥⵥⴰⵍⵍ	ⵥⵥⵓⵍⵍⵉ|ⵥⵥⵓⵍⵍⴰ	ⵥⵥⵓⵍⵍⵉ	ⵜⵜⵥⴰⵍⵍⴰ	Intr	
become	ⴷⵓⵍ	ⴷⵓⵍ	ⴷⵓⵍ	ⵜⵜⴷⵓⵍ	Intr	
think	ⵙⵡⵉⵏⴳⵎ	ⵙⵡⵉⵏⴳⵎ	ⵙⵡⵉⵏⴳⵎ	ⵙⵡⵉⵏⴳⵉⵎ	Intr	ⴳ
set	ⵙⵔⵙ	ⵙⵔⵙ	ⵙⵔⵉⵙ	ⵙⵔⵓⵙ	Trans	
sleep	ⴳⵏ	ⴳⵏ	ⴳⵉⵏ	ⴳⴳⴰⵏ	Intr	ⵖⴼ/ⴳ
lose	ⵊⵍⵓ	ⵊⵍⵉ|ⵊⵍⴰ	ⵊⵍⵉ	ⵊⵍⵍⵓ	Trans	
save	ⵙⵙⵏⵊⵎ	ⵙⵙⵏⵊⵎ	ⵙⵙⵏⵊⵉⵎ	ⵙⵙⵏⵊⴰⵎ	Trans	
change	ⵙⵙⵏⴼⵍ	ⵙⵙⵏⴼⵍ	ⵙⵙⵏⴼⵉⵍ	ⵙⵙⵏⴼⴰⵍ	Trans	
begin	ⵙⵙⵏⵜⵉ	ⵙⵙⵏⵜⵉ|ⵙⵙⵏⵜⴰ	ⵙⵙⵏⵜⵉ	ⵙⵙⵏⵜⴰⵢ	Trans	
start	ⵙⵙⵏⵜⵉ	ⵙⵙⵏⵜⵉ|ⵙⵙⵏⵜⴰ	ⵙⵙⵏⵜⵉ	ⵙⵙⵏⵜⴰⵢ	Trans	
select	ⵙⵜⵉ	ⵙⵜⵉ	ⵙⵜⵉ	ⵙⵜⴰⵢ	Trans	
choose	ⵙⵜⵉ	ⵙⵜⵉ	ⵙⵜⵉ	ⵙⵜⴰⵢ	Trans	
open	ⵕⵥⵎ	ⵕⵥⵎ	ⵕⵥⵉⵎ	ⵕⵥⵥⵎ	Trans	
close	ⵇⵇⵏ	ⵇⵇⵏ	ⵇⵇⵉⵏ	ⵜⵜⵇⵇⵏ	Trans	
lock	ⵔⴳⵍ	ⵔⴳⵍ	ⵔⴳⵉⵍ	ⵔⴳⴳⵍ	Trans	
fall	ⴹⵕ	ⴹⵕ	ⴹⵉⵕ	ⵟⵟⴰⵕ	Intr	ⴳ/ⵖⴼ/...
fill	ⴽⵜⵓⵔ	ⴽⵜⵓⵔ	ⴽⵜⵓⵔ	ⵜⵜⴽⵜⵓⵔ	Trans	
laugh	ⴹⵚⵚⴰ	ⴹⵚⵚⴰ	ⴹⵚⵚⴰ	ⴹⵚⵚⴰ	Intr	ⵖⴼ/ⴳ
cook	ⵙⵙⵏⵓ	ⵙⵙⵏⵡⵉ|ⵙⵙⵏⵡⴰ	ⵙⵙⵏⵡⵉ	ⵙⵙⵏⵡⴰ	Trans		
complain	ⵙⵎⵓⵎⵎⵉ	ⵙⵎⵓⵎⵎⵉ	ⵙⵎⵓⵎⵎⵉ	ⵙⵎⵓⵎⵎⵓⵢ	Intr	ⵖⴼ
finish	ⴼⴹⴹⵓ	ⴼⴹⴹⵉ|ⴼⴹⴹⴰ	ⴼⴹⴹⵉ	ⵜⵜⴼⴹⴹⵓ	Trans	
complete	ⵙⵎⴷ	ⵙⵎⴷ	ⵙⵎⵉⴷ	ⵙⵎⴰⴷ	Trans	
cut	ⴱⴱⵉ	ⴱⴱⵉ	ⴱⴱⵉ	ⵜⵜⴱⴱⵉ	Trans	
reverse	ⵙⴳⵔⴰⵡⵍ	ⵙⴳⵔⴰⵡⵍ	ⵙⴳⵔⴰⵡⵉⵍ	ⵙⴳⵔⴰⵡⴰⵍ	Trans	
collect	ⴳⵔⵓ	ⴳⵔⵉ|ⴳⵔⴰ	ⴳⵔⵉ	ⴳⵔⵔⵓ	Trans	
add	ⵔⵏⵓ	ⵔⵏⵉ|ⵔⵏⴰ	ⵔⵏⵉ	ⵔⵏⵏⵓ	Trans	
continue	ⵙⵎⴷ	ⵙⵎⴷ	ⵙⵎⵉⴷ	ⵙⵎⴰⴷ	Trans	
swear	ⴳⴳⴰⵍⵍ	ⴳⴳⵓⵍⵍ	ⴳⴳⵓⵍⵍⵉ	ⵜⵜⴳⴰⵍⵍⴰ	Intr	
communicate	ⵎⵙⴰⵡⴰⵍ	ⵎⵙⴰⵡⴰⵍ	ⵎⵙⴰⵡⴰⵍ	ⵜⵜⵎⵙⴰⵡⴰⵍ	Intr	ⴷ/ⴰⴽⴷ
discuss	ⵎⵙⴳⴷⴰⵍ	ⵎⵙⴳⴷⴰⵍ	ⵎⵙⴳⴷⴰⵍ	ⵜⵜⵎⵙⴳⴷⴰⵍ	Trans	
test	ⴰⵔⵎ	ⵓⵔⵎ	ⵓⵔⵉⵎ	ⵜⵜⴰⵔⵎ	Trans	
smile	ⵣⵎⵓⵎⵎⴳ	ⵣⵎⵓⵎⵎⴳ	ⵣⵎⵓⵎⵎⴳ	ⵣⵎⵓⵎⵎⵓⴳ	Intr	ⵉ/...
draw	ⵙⵙⵓⵏⵖ	ⵙⵙⵓⵏⵖ	ⵙⵙⵓⵏⵖ	ⵙⵙⵓⵏⵓⵖ	Trans	
paint	ⵖⵎ	ⵖⵎⵉ|ⵖⵎⴰ	ⵖⵎⵉ	ⵖⵎⵎⴰ	Trans	
fear	ⵉⴽⵚⵓⴹ	ⴽⵚⵓⴹ	ⴽⵚⵓⴹ	ⵜⵜⵉⴽⵚⵓⴹ	Trans	
meet	ⵎⵎⴰⵇⵇⴰⵔ	ⵎⵎⴰⵇⵇⴰⵔ	ⵎⵎⴰⵇⵇⴰⵔ	ⵜⵜⵎⴰⵇⵇⴰⵔ	Trans	
fix	ⵙⴳⴰⴷⴷⴰ	ⵙⴳⴰⴷⴷⴰ	ⵙⴳⴰⴷⴷⴰ	ⵙⴳⴰⴷⴷⴰ	Trans	
seem	ⵉⵔⵡⵉⵙ	ⵔⵡⴰⵙ	ⵔⵡⴰⵙ	ⵜⵜⵉⵔⵡⵉⵙ	Trans	
jump	ⴰⴽⵯⵉ	ⵓⴽⵉ	ⵓⴽⵉ	ⵜⵜⴰⴽⵯⵉ	Intr	ⵖⴼ/...
join	ⴷⵔⵓ	ⴷⵔⵉ|ⴷⵔⴰ	ⴷⵔⵉ	ⴷⵔⵔⵓ	Trans	
lie	ⵙⴽⵔⴽⵙ	ⵙⴽⵔⴽⵙ	ⵙⴽⵔⴽⵙ	ⵙⴽⵔⴽⵉⵙ	Intr	ⵖⴼ/...
live	ⴷⴷⵔ	ⴷⴷⵔ	ⴷⴷⵉⵔ	ⵜⵜⵉⴷⵉⵔ	Intr	ⴳ/...
die	ⵎⵎⵜ	ⵎⵎⵓⵜ	ⵎⵎⵓⵜ	ⵜⵜⵎⵜⴰⵜ	Intr	ⵖⴼ/...
fight	ⵎⵎⴰⵖ	ⵎⵎⴰⵖ	ⵎⵎⴰⵖ	ⵜⵜⵎⴰⵖ	Intr	ⴷ/ⴰⴽⴷ
advise	ⵙⵎⵎⵜⵔ	ⵙⵎⵎⵜⵔ	ⵙⵎⵎⵜⵔ	ⵙⵎⵎⵜⴰⵔ	Trans	
fly	ⴰⵢⵍⵍ	ⵓⵢⵍⵍ	ⵓⵢⵍⵍ	ⵜⵜⴰⵢⵍⴰⵍ	Intr	ⵖⴼ/ⵙ/...
follow	ⴹⴼⵕ	ⴹⴼⵕ	ⴹⴼⵉⵕ	ⴹⴼⴼⵕ	Trans	
get	ⴰⵎⵥ	ⵓⵎⵥ	ⵓⵎⵉⵥ	ⵜⵜⴰⵎⵥ	Trans	
forgive	ⵙⵙⵓⵔⴼ	ⵙⵙⵓⵔⴼ	ⵙⵙⵓⵔⴼ	ⵙⵙⵓⵔⵓⴼ	Intr	ⵉ
escape	ⵔⵡⵍ	ⵔⵡⵍ	ⵔⵡⵉⵍ	ⵔⴳⴳⵯⵍ	Intr	ⵉ
form	ⵙⵙⵉⵍⵖ	ⵙⵙⵉⵍⵖ	ⵙⵙⵉⵍⵖ	ⵙⵙⵉⵍⵉⵖ	Trans	
give	ⴼⴽ	ⴼⴽⵉ|ⴼⴽⴰ	ⴼⴽⵉ	ⴰⴽⴽⴰ	Trans	
happen	ⵎⵙⴰⵔ	ⵎⵙⴰⵔ	ⵎⵙⵉⵔ	ⵜⵜⵎⵙⴰⵔ	Intr	
harm	ⴽⵯⵎⵉ	ⴽⵯⵎⵉ	ⴽⵯⵎⵉ	ⴽⵯⵎⵎⵉ	Trans	
smoke	ⴽⵎⵉ	ⴽⵎⵉ	ⴽⵎⵉ	ⴽⵎⵎⵉ	Trans	
heal	ⵙⵓⵊⵊⵉ	ⵙⵓⵊⵊⵉ	ⵙⵓⵊⵊⵉ	ⵙⵓⵊⵊⵉⵢ	Trans	
hide	ⵙⵙⵏⵜⵍ	ⵙⵙⵏⵜⵍ	ⵙⵙⵏⵜⵍ	ⵙⵙⵏⵜⴰⵍ	Trans	
increase	ⵙⵏⵔⵏⵉ	ⵙⵏⵔⵏⵉ	ⵙⵏⵔⵏⵉ	ⵙⵏⵔⵏⴰⵢ	Trans	
decrease	ⵙⵏⵓⵙⵔⵓ	ⵙⵏⵓⵙⵔⵓ	ⵙⵏⵓⵙⵔⵓ	ⵙⵏⵓⵙⵔⵓ	Trans	
hope	ⵏⵏⵓⵔⵣ	ⵏⵏⵓⵔⵣ	ⵏⵏⵓⵔⵣ	ⵜⵜⵏⵓⵔⵓⵣ	Intr	
invite	ⵖⵔ	ⵖⵔⵉ|ⵖⵔⴰ	ⵖⵔⵉ	ⴰⵇⵇⵔⴰ	Trans	
look at	ⵙⵎⵓⵇⵇⵍ	ⵙⵎⵓⵇⵇⵍ	ⵙⵎⵓⵇⵇⵍ	ⵙⵎⵓⵇⵇⵓⵍ	Intr	ⴳ
mention	ⴱⴷⵔ	ⴱⴷⵔ	ⴱⴷⵉⵔ	ⴰⴷⴷⵔ	Trans	
move	ⵎⵎⴰⵙⵙ	ⵎⵎⵓⵙⵙ	ⵎⵎⵓⵙⵙ	ⵜⵜⵎⵓⵙⵙⵓ	Intr	ⴳ
move (something)	ⵙⵎⴰⵙⵙ	ⵙⵎⵓⵙⵙ	ⵙⵎⵓⵙⵙ	ⵙⵎⵓⵙⵙⵓ	Trans	
need	ⴰⵙⵔ	ⵓⵙⵔ	ⵓⵙⵉⵔ	ⵜⵜⴰⵙⵔ	Trans	
obtain	ⴰⵎⵥ	ⵓⵎⵥ	ⵓⵎⵉⵥ	ⵜⵜⴰⵎⵥ	Trans	
pay	ⴼⵔⵓ	ⴼⵔⵉ|ⴼⵔⴰ	ⴼⵔⵉ	ⴼⵔⵔⵓ	Trans	
raise	ⴰⵍⵍ	ⵓⵍⵍ	ⵓⵍⵍ	ⵜⵜⴰⵍⵍ	Trans	
repeat	ⴰⵍⵙ	ⵓⵍⵙ	ⵓⵍⵉⵙ	ⵜⵜⴰⵍⵙ	Trans	
solve	ⴼⵙⵉ	ⴼⵙⵉ	ⴼⵙⵉ	ⴼⵙⵙⵉ	Trans	
resolve	ⴼⵙⵉ	ⴼⵙⵉ	ⴼⵙⵉ	ⴼⵙⵙⵉ	Trans	
respect	ⵣⵔⴽ	ⵣⵔⴽ	ⵣⵔⵉⴽ	ⵣⵔⵔⴽ	Trans	
steal	ⴰⴽⵔ	ⵓⴽⵔ	ⵓⴽⵔ	ⵜⵜⴰⴽⵔ	Trans	
succeed	ⵎⵓⵔⵙ	ⵎⵓⵔⵙ	ⵎⵓⵔⵙ	ⵜⵜⵎⵓⵔⵓⵙ	Intr	ⴳ
study	ⵣⵔⵓ	ⵣⵔⵉ|ⵣⵔⴰ	ⵣⵔⵉ	ⵣⵔⵔⵓ	Trans	
suppose	ⵓⵔⴷⵓ	ⵓⵔⴷⵉ|ⵓⵔⴷⴰ	ⵓⵔⴷⵉ	ⵜⵜⵓⵔⴷⵓ	Trans	
swim	ⵛⵛⴼ	ⵛⵛⴼ	ⵛⵛⵉⴼ	ⵜⵜⵛⵛⴼ	Intr	ⴳ/...
turn (self)	ⵙⵙⵓⵜⵍ	ⵙⵙⵓⵜⵍ	ⵙⵙⵓⵜⵍ	ⵙⵙⵓⵜⵓⵍ	Intr	ⵉ
visit	ⵔⵣⴼ/ⴽⴽ (ⴷ)	ⵔⵣⴼ/ⴽⴽⵉ|ⴽⴽⴰ (ⴷ)	ⵔⵣⵉⴼ/ⴽⴽⵉ (ⴷ)	ⵜⵜⵔⵣⴰⴼ/ⵜⵜⴽⴽⴰ (ⴷ)	Trans	
wish	ⵙⵙⵉⵜⵎ	ⵙⵙⵉⵜⵎ	ⵙⵙⵉⵜⵎ	ⵙⵙⵉⵜⵉⵎ	Trans	
worry	ⵏⵏⵓⵖⵊⴼ	ⵏⵏⵓⵖⵊⴼ	ⵏⵏⵓⵖⵊⴼ	ⵜⵜⵏⵓⵖⵊⴼ	Intr	ⵖⴼ
determine	ⵙⵓⵜⵜⵓ	ⵙⵓⵜⵜⵓ	ⵙⵓⵜⵜⵓ	ⵙⵓⵜⵜⵓ	Trans	
analyze	ⵚⵍⴹ	ⵚⵍⴹ	ⵚⵍⵉⴹ	ⵜⵜⵚⵍⴰⴹ	Trans	
feel	ⵙⵢⴰⴼⴰ	ⵙⵢⴰⴼⴰ	ⵙⵢⴰⴼⴰ	ⵙⵢⴰⴼⴰ	Intr	ⵙ	
measure	ⵙⵖⵍ	ⵙⵖⵍ	ⵙⵖⵉⵍ	ⵙⵖⴰⵍ	Trans	
be aware	ⴼⵔⴽ	ⴼⵔⴽ	ⴼⵔⵉⴽ	ⴼⴼⵔⴽ	Intr	ⵉ
observe	ⵙⵏⵉⵖⵙ	ⵙⵏⵉⵖⵙ	ⵙⵏⵉⵖⵙ	ⵙⵏⵉⵖⵉⵙ	Trans	
expect	ⴹⴽⴹ	ⴹⴽⴹ	ⴹⴽⵉⴹ	ⵜⵜⴹⴽⴰⴹ	Trans	
erase	ⵙⵙⴼⴹ	ⵙⵙⴼⴹ	ⵙⵙⴼⵉⴹ	ⵙⵙⴼⵓⴹ	Trans	
enjoy	ⴼⵊⵊⵉⵊ	ⴼⵊⵊⵉⵊ	ⴼⵊⵊⵉⵊ	ⵜⵜⴼⵊⵊⵉⵊ	Intr	ⵙ/ⴷ/ⴰⴽⴷ
divide	ⴱⴹⵓ	ⴱⴹⵉ|ⴱⴹⴰ	ⴱⴹⵉ	ⴰⵟⵟⵓ	Trans	
separate	ⵙⵏⴳⵉⵔⵉ	ⵙⵏⴳⴰⵔⴰ	ⵙⵏⴳⴰⵔⴰ	ⵙⵏⴳⵉⵔⵉ	Trans	
destroy	ⵏⴷⵍ/ⵔⴷⵍ	ⵏⴷⵍ/ⵔⴷⵍ	ⵏⴷⵉⵍ/ⵔⴷⵉⵍ	ⵔⴷⴷⵍ	Trans	
build	ⵥⴽⵓ	ⵥⴽⵉ|ⵥⴽⴰ	ⵥⴽⵉ	ⵜⵜⵥⴽⵓ	Trans	
refuse	ⴰⴳⵯⵉ	ⵓⴳⵯⵉ	ⵓⴳⵯⵉ	ⵜⵜⴰⴳⵯⵉ	Trans	
describe	ⴳⵍⵎ	ⴳⵍⵎ	ⴳⵍⵉⵎ	ⴳⵍⵍⵎ	Trans	
deserve	ⴰⴽⵍⵓⵍ	ⵓⴽⵍⴰⵍ	ⵓⴽⵍⴰⵍ	ⵜⵜⵓⴽⵍⴰⵍ	Trans	
cry	ⴰⵍⵍ	ⴰⵍⵍ	ⴰⵍⵍ	ⴰⵍⵍⴰ	Intr	ⵖⴼ
cover	ⴷⵍ	ⴷⵍ	ⴷⵉⵍ	ⴷⴷⴰⵍ	Trans	
relax	ⵏⵏⵓⵍⵡⵓ	ⵏⵏⵓⵍⵡⵉ|ⵏⵏⵓⵍⵡⴰ	ⵏⵏⵓⵍⵡⵉ	ⵜⵜⵏⵓⵍⵡⵓ	Intr	
cough	ⵓⵙⵓ	ⵓⵙⵓ	ⵓⵙⵓ	ⵜⵜⵓⵙⵓ	Intr	
confirm	ⵙⵙⵍⴽⵏ	ⵙⵙⵍⴽⵏ	ⵙⵙⵍⴽⵉⵏ	ⵙⵙⵍⴽⴰⵏ	Trans	
classify	ⵙⵉⵙⵎⵍ	ⵙⵉⵙⵎⵍ	ⵙⵉⵙⵎⵍ	ⵙⵉⵙⵎⵉⵍ	Trans	
