DNA: ⵙⵎⴽ
april: ⵉⴱⵔⵉⵔ
arabic: ⵜⴰⵄⵕⴰⴱⵜ
architecture: ⵜⴰⵙⴳⴷⴰ
area: ⵜⴰⵊⵓⵎⵎⴰ
areas: ⵜⵉⵊⵓⵎⵎⴰⵡⵉⵏ
argument: ⵜⵉⵖⵉⵔⵜ
arguments: ⵜⵉⵖⵉⵔⵉⵏ
arithmetic: ⵜⴰⵙⵏⵎⴹⴰⵏⵜ
arm: ⵉⵖⵉⵔ
arms: ⵉⵖⴰⵔⵉⵡⵏ
array: ⵜⴰⴼⵍⵡⵉⵜ
arrays: ⵜⵉⴼⵍⵡⵉⵏ
art: ⵜⴰⵥⵓⵔⵉ
article: ⴰⵎⴳⵔⴰⴷ
articles: ⵉⵎⴳⵔⴰⴷⵏ
articulation: ⴰⴳⵙⵓⵙⵔⵓ
artificial: ⴰⵙⵎⴳⵓⵔ
artistic: ⴰⵥⵓⵕⴰⵏ
asia: ⴰⵙⵢⴰ
aspect: ⴰⵎⴰⵖⵏⵓ
aspects: ⵉⵎⴰⵖⵏⵓⵜⵏ
assembly: ⴰⵙⴳⵔⵓ
assertion: ⴰⵇⵇⵉⵔ
assigning: ⴰⵙⴷⵓⴽⴽⵍ
assignment: ⴰⵙⴷⵓⴽⴽⵍ
assimilation: ⵜⴰⵎⵙⵔⵜⵉⵜ
assistant: ⴰⵎⴰⵡⴰⵙ
association: ⵜⴰⵎⵙⵎⵓⵏⵜ
associations: ⵜⵉⵎⵙⵎⵓⵏⵉⵏ
asterisk: ⵜⵉⵜⵔⵉⵜ
asteroid: ⴰⵣⵓⵏⵜⵔⵉ
asteroids: ⵉⵣⵓⵏⵜⵔⵉⵜⵏ
astrology: ⴰⵙⵜⵔⵉ
astronomer: ⴰⵎⵙⵏⵉⵜⵔⵉ
astronomy: ⵜⴰⵙⵏⵉⵜⵔⵉⵜ
astrophysicist: ⴰⵎⵙⵏⴳⴰⵎⵉⵜⵔⵉ
astrophysicists: ⵉⵎⵙⵏⴳⴰⵎⵉⵜⵔⵉⵜⵏ
astrophysics: ⵜⴰⵙⵏⴳⴰⵎⵉⵜⵔⵉⵜ
at: ⴳ
atmosphere: ⵜⵉⴳⵏⵡⵜ
atom: ⴰⴱⵍⴽⵉⵎ
atomic: ⴰⴱⵍⴽⴰⵎ
atoms: ⵉⴱⵍⴽⵉⵎⵏ
attack: ⴰⵥⴹⴰⵎ
attempt: ⵜⵓⵔⵎⵉⵜ
attempts: ⵜⵓⵔⵎⵉⵜⵉⵏ
attention: ⵜⴰⵢⵏⵉⵜ
attestation: ⴰⵙⵍⴽⵉⵏ
attribute: ⴰⵏⴰⵎⴰⵥ
attributes: ⵉⵏⴰⵎⴰⵥⵏ
audibility: ⵜⴰⵙⵍⵍⵉⵜ
audio: ⴰⵎⵙⵍⴰⵡ
auditeur: ⴰⵎⵙⵙⴼⵍⵉⴷ
audition: ⵜⴰⵙⵍⴰ
author: ⴰⵎⵙⴽⴰⵔ
authorities: ⵉⴷⴰⴱⵓⵜⵏ
authority: ⴰⴷⴰⴱⵓ
authors: ⵉⵎⵙⴽⴰⵔⵏ
automatic: ⴰⵡⵓⵔⵎⴰⵏ
automatically: ⵙ ⵓⵡⵓⵔⵎⴰⵏ
autumn: ⴰⵎⵡⴰⵏ
auxiliary: ⴰⵎⴰⵡⴰⵙ
available: ⴰⵢⵍⵍⴰⵏ
awareness: ⴰⴽⴰⵣ
back: ⵜⴰⴷⴰⵡⵜ
background: ⵜⴰⴼⵔⴳⵯⵏⵉⵜ
backgrounds: ⵜⵉⴼⵔⴳⵯⵏⵉⵢⵉⵏ
bacteria: ⴰⴱⴰⴽⵜⵉⵔⵢⴰ
bacteria: ⴰⴱⴰⴽⵜⵉⵔⵢⴰ
bad: ⴳⴰⵔ
bag: ⵜⴰⵛⵛⴽⴰⵕⵜ
balance: ⴰⵎⵢⴰⵙ
ball: ⵜⴰⵡⵊⵊⴰ
bank: ⴰⴱⴰⵏⴽ
bar: ⴰⴼⴳⴳⴰⴳ
barber: ⴰⵃⴼⴼⴰⴼ
barn: ⵜⴰⴳⵔⵓⵔⵜ
base: ⵜⴰⴷⴰⵙⵉⵍⵜ
basic: ⴰⴷⴰⵙⵉⵍ
basics: ⵉⴷⴰⵙⵉⵍⵏ
basis: ⴰⴷⴰⵙⵉⵍ
bathroom: ⴰⵔⴰⴷⴰⴱ
battery: ⴰⴱⴰⵜⵔⵉ
bay: ⴰⵙⵍⴰⵍⵍⵓ
beach: ⵜⴰⵖⴰⵔⵜ ⵏ ⵢⵉⵍⵍ
bean-shaped: ⵜⴰⵡⵉⵍⴰ ⵏ ⵢⵉⴱⴰⵡⵏ
bear: ⴰⴱⵓⴱⴱⴰⵣ
beard: ⵜⴰⵎⴰⵔⵜ
beautiful: ⵉⵥⵉⵍⵏ
because: ⴰⵛⴽⵓ
bed: ⵓⵙⵓ
bedroom: ⴰⵃⴰⵏⵓ ⵏ ⵜⴳⵓⵏⵉ
bedrooms: ⵉⵃⵓⵏⴰ ⵏ ⵜⴳⵓⵏⵉ
been: ⵢⴰⴷⵍⵍⵉ
before: ⴷⴰⵜ
beginner: ⴰⵎⵙⵙⵏⵜⵉ
beginners: ⵉⵎⵙⵙⵏⵜⵉⵢⵏ
behavior: ⴰⵎⵓⴳⴳⵉ
behaviors: ⵉⵎⵓⴳⴳⵉⵜⵏ
behaviour: ⴰⵎⵓⴳⴳⵉ
behaviours: ⵉⵎⵓⴳⴳⵉⵜⵏ
behind: ⴷⴼⴼⵉⵔ
benefit: ⵜⴰⵍⵓⵎⵎⵉⵥⵜ
benefits: ⵜⵉⵍⵓⵎⵎⵉⵥⵉⵏ
berber: ⵜⴰⵎⴰⵣⵉⵖⵜ
best: ⵜⵓⴼⵓⵜ
better: ⵢⵓⴼⵏ
between: ⴳⵔ
beyond: ⴹⴰⵔⴰⵜ
bicycle: ⴰⵣⵍⴰⵍⴰⵎ
big: ⴰⵎⵇⵔⴰⵏ
bigger: ⴰⵎⵇⵔⴰⵏ
binary: ⵉⵎⵉⵙⵉⵏ
biochemical: ⴰⴷⵔⴽⵔⵓⵔⴰⵏ
biology: ⵜⴰⵙⵏⵓⴷⵔⵜ
bipedal: ⴰⵙⵏⴹⴰⵕ
bipedalism: ⵜⴰⵙⵏⴹⴰⵕⵜ
bird: ⴰⴳⴹⵉⴹ
birds: ⵉⴳⴹⴰⴹ
birth: ⵜⴰⵍⴰⵍⵉⵜ
bitter: ⴰⵎⵔⵥⴰⴳⵓ
black: ⴰⴱⵔⴽⴰⵏ
blind: ⴰⴷⵔⵖⴰⵍ
block: ⴰⵣⵏⵣⵉⵖ
blood: ⵉⴷⴰⵎⵎⵏ
blue: ⴰⵥⵕⵡⴰⵍ
blueprints: ⵉⵖⴰⵡⴰⵙⵏ
body: ⵜⴰⴼⴽⴽⴰ
bone marrow: ⴰⴷⵉⴼ
book: ⴰⴷⵍⵉⵙ
books: ⵉⴷⵍⵉⵙⵏ
boolean: ⴰⴱⵓⵍⵢⴰⵏ
booleans: ⵉⴱⵓⵍⵢⴰⵏⵏ
border: ⵉⵡⵜⵜⴰ
both: ⵙ ⵙⵉⵏ
bottom: ⵉⵣⴷⴷⴰⵔ
boundary: ⴰⵡⵜⵜⵓ
bowl: ⴰⴳⵔⴰ
bowls: ⴰⴳⵔⵉⵡⵏ
box: ⵜⴰⴼⵏⵉⵇⵜ
boy: ⴰⵔⴱⴰ
boys: ⵉⵔⴱⴰⵏ
brain: ⴰⵏⵍⵉ
branch: ⵉⵥⵍⵉ
branches: ⵉⵥⵍⵉⵜⵏ
brand: ⵜⴰⵎⴰⵜⴰⵔⵜ
brave: ⴰⵏⴱⵖⵓⵙ
bread: ⴰⵖⵔⵓⵎ
breakfast: ⴰⵖⵓⵊⵊⵔ
breeze: ⴰⵣⵓⵣⵡⵓ
bride: ⵜⵉⵙⵍⵉⵜ
bridegroom: ⵉⵙⵍⵉ
bridge: ⵜⵉⵍⴳⴳⵯⵉⵜ
brother: ⵓⵎⴰ
brothers: ⴰⵢⵜⵎⴰⵜⵏ
brothership: ⵜⴰⵡⵎⴰⵜ
browser: ⵉⵎⵉⵏⵉⴳ
browsers: ⵉⵎⵉⵏⵉⴳⵏ
bucket: ⴰⴳⴰ
building: ⵜⵉⵥⴽⵉ
built-in: ⴰⵎⴰⴷⴰⴼ
business: ⴰⵎⴰⵀⵉⵍ
businessman: ⴱⴰⴱ ⵏ ⵜⵡⵓⵔⵉⵡⵉⵏ
but: ⵎⴰⵛⴰ
by: ⵙ
calculation: ⴰⵙⵉⴹⵏ
calculations: ⵉⵙⵉⴹⴰⵏ
calculus: ⴰⵙⵉⴹⵏ
caller: ⴰⵎⵍⴰⵖⵉ
camel: ⴰⵍⵖⵎ
canada: ⴽⴰⵏⴰⴷⴰ
capable: ⵉⵣⵎⵔ
capacity: ⴰⴽⵜⵜⵓⵔ
capital: ⵜⴰⵎⴰⵥⵓⵏⵜ
capitalism: ⵜⴰⵥⵕⴷⴳⴰⵔⵜ
car: ⵜⵉⵀⵉⵔⵉⵜ
carbon: ⴰⴽⴰⵔⴱⵓⵏ
card: ⵜⴰⴽⴰⵔⴹⴰ
carpet: ⵜⴰⴽⴹⵉⴼⵜ
cars: ⵜⵉⵀⵉⵔⵉⵜⵉⵏ
cartoon: ⵓⵏⵓⵖ ⵉⵜⵜⵎⵓⵙⵙⵓⵏ
cartoons: ⵓⵏⵓⵖⵏ ⵉⵜⵜⵎⵓⵙⵙⵓⵏ
case: ⴰⴷⴷⴰⴷ
cases: ⴰⴷⴷⴰⴷⵏ
castle: ⵉⵖⵔⵎ
cat: ⴰⵎⴰⵛⵛⵓ
categories: ⵜⴰⴳⴳⴰⵢⵉⵏ
category: ⵜⴰⴳⴳⴰⵢⵜ
cats: ⵉⵎⵓⵛⵛⴰ
cattle: ⴰⵛⵜⴰⵍ
cause: ⴰⵙⵔⴰⴳ
cave: ⵉⴼⵔⵉ
caves: ⵉⴼⵔⴰⵏ
celestial: ⴰⴳⵏⵏⴰⵢ
cell: ⵜⴰⵖⵔⴰⵙⵜ
cells: ⵜⵉⵖⵔⴰⵙⵉⵏ
cellular: ⴰⵖⵔⴰⵙⴰⵏ
center: ⴰⵎⵎⴰⵙ
centers: ⴰⵎⵎⴰⵙⵏ
central: ⴰⵏⴰⵎⵎⴰⵙ
centuries: ⵜⵉⵙⵓⵜⵉⵏ
century: ⵜⴰⵊⵕⵎⴰ
ceremonies: ⵜⵉⴼⵓⴳⵍⵉⵡⵉⵏ
ceremony: ⵜⴰⴼⵓⴳⵍⴰ
certain: ⴽⵔⴰ ⵏ
certainly: ⵙ ⵓⵍⴽⴰⵏ
certificate: ⴰⵙⵍⴽⵉⵏ
certificates: ⵉⵙⵍⴽⵉⵏⵏ
chain: ⴰⵙⴷⴷⵉ
chains: ⵉⵙⴷⴷⵉⵜⵏ
chair: ⴰⵙⵖⵉⵎ
chairs: ⵉⵙⵖⵉⵎⵏ
challenge: ⴰⵏⴰⵥⴰⵕ
challenges: ⵉⵏⴰⵥⴰⵕⵏ
change: ⴰⵙⵏⴼⵍ
changing: ⴰⵙⵏⴼⵍ
channel: ⵜⴰⴱⴰⴷⵓⵜ
channels: ⵜⵉⴱⴰⴷⵓⵜⵉⵏ
chapter: ⵜⴰⴳⵟⵟⵓⵎⵜ
chapter: ⵜⴰⴳⵣⵣⵓⵎⵜ
chapters: ⵜⵉⴳⵟⵟⵓⵎⵉⵏ
character: ⴰⵙⴽⴽⵉⵍ
characteristic: ⵜⴰⴼⵔⵉⵙⵜ
characteristics: ⵜⵉⴼⵔⵉⵙⵉⵏ
characters: ⵉⵙⴽⴽⵉⵍⵏ
charge: ⵜⴰⵙⴽⵜⵔⵜ
charger: ⴰⵎⵙⴽⵜⵔ
charging: ⴰⵙⴽⵜⵔ
cheek: ⴰⵎⴰⴷⵍ
chemical: ⴰⴽⵔⵓⵔⴰⵏ
chemistry: ⵜⴰⴽⵔⵓⵔⴰ
chess: ⵜⵉⴷⴷⴰⵙ
chest: ⵉⴷⵎⴰⵔⵏ
child: ⴰⵣⵣⴰⵏ
children: ⵜⴰⵔⵡⴰ
chin: ⵜⴰⵎⴰⵔⵜ
choice: ⴰⵙⵜⴰⵢ
choices: ⵉⵙⵜⴰⵢⵏ
cinema: ⵙⵙⵉⵏⵉⵎⴰ
circle: ⵜⴰⵡⵔⴻⵔⵔⴰⵢⵜ
circles: ⵜⵉⵡⵔⴻⵔⵔⴰⵢⵉⵏ
circuit: ⴰⵙⵓⵏⵏⴰⴹ
circuits: ⵉⵙⵓⵏⵏⴰⴹⵏ
circumstance: ⵜⴰⵎⵙⵓⵜⵍⵜ
circumstances: ⵜⴰⵎⵙⵓⵜⴰⵍ
cities: ⵜⵉⵖⵔⵎⵉⵏ
citizen: ⴰⵏⴰⵎⵓⵔ
citizens: ⵉⵏⴰⵎⵓⵔⵏ
city: ⵜⴰⵎⴷⵉⵏⵜ
civilization: ⵜⴰⵖⵔⵎⴰ
civilizations: ⵜⵉⵖⵔⵎⴰⵉⵡⵉⵏ
class: ⴰⵙⵎⵉⵍ
classes: ⵉⵙⵎⵉⵍⵏ
classification: ⴰⵙⵉⵙⵎⵍ
clean: ⴰⵣⴷⴳⴰⵏ
climate: ⴰⵏⴳⵉⴳⵜ
clinic: ⵜⴰⵙⴷⵓⵙⵉⵜ
clothes: ⵜⵉⵎⵍⵙⴰ
cloud: ⴰⵎⴷⵍⵓ
clouds: ⵉⵎⴷⵍⴰ
cluster: ⵜⴰⵥⵕⵎⵜ
clusters: ⵜⵉⵥⵕⵎⵉⵏ
coast: ⴰⴼⵜⴰⵙ
code: ⵜⴰⵏⴳⴰⵍⵜ
coding: ⴰⵙⵏⵉⴳⵍ
cold (adj): ⴰⵙⵎⵎⴰⴹ
cold (n): ⴰⵙⵎⵎⵉⴹ
collection (action): ⵜⵉⴳⵔⵉ
collection: ⵜⴰⵍⴽⵏⵙⵉⵜ
collections: ⵜⵉⵍⴽⵏⵙⵉⵢⵉⵏ
collective: ⴰⵎⴳⵔⴰⵡ
college: ⵜⴰⵖⵉⵡⴰⵏⵜ
collision: ⴰⵏⴳⴰⵙ
collisions: ⵉⵏⴳⴰⵙⵏ
collustrum: ⴰⴷⵖⵙ
colon: ⵙⵏⴰⵜ ⵜⵇⵉⴼⴰ
color: ⴰⴽⵍⵓ
colors: ⵉⴽⵯⵍⴰⵏin
column: ⵜⴰⵏⵏⴰⵍⵜ
combination: ⵜⴰⵙⵓⴷⴷⵓⵙⵜ
combinations: ⵜⵉⵙⵓⴷⴷⵓⵙⵉⵏ
combine: ⵍⴽⵙ
comet: ⵜⴰⵎⵙⵔⵉⵡⵜ
comets: ⵜⵉⵎⵙⵔⵉⵡⵉⵏ
comma: ⵜⵉⵙⴽⵔⵜ
commas: ⵜⵉⵙⴽⵔⵉⵏ
command: ⴰⵏⴰⴹ
commands: ⴰⵏⴰⴹⵏ
comment: ⴰⵖⴼⴰⵡⴰⵍ
comments: ⵉⵖⴼⴰⵡⴰⵍⵏ
common: ⵉⵙⵙⴰⵔⵏ
commonly: ⵉⵜⵜⵓⵎⵢⴰⵔ
communication: ⴰⵎⵢⴰⵡⴰⴹ
communities: ⴰⵎⵓⵏⵏ
community: ⴰⵎⵓⵏ
companies: ⵜⵉⵎⵙⵙⵓⵔⵉⵏ
company: ⵜⴰⵎⵙⵙⵓⵔⵜ
comparison: ⴰⵙⵎⵣⴰⵣⴰⵍ
comparisons: ⵉⵙⵎⵣⴰⵣⴰⵍⵏ
compatible: ⴰⵎⵙⴰⵙⴰⵢ
competence: ⵜⴰⵙⵓⴳⵔⵜ
competences: ⵜⵉⵙⵓⴳⴰⵔ
competent: ⴰⵎⵙⵓⴳⵔ
competition: ⴰⵎⵣⵉⵣⵡⵔ
compiler: ⴰⵙⴼⵙⴰⵢ
complete: ⵓⵎⵎⵉⴷ
completely: ⵙ ⵜⵉⵎⵎⴰⴷ
complex: ⵓⴷⴷⵉⵙ
compliment: ⵜⵓⵍⵖⴰ
compliments: ⵜⵓⵍⵖⵉⵡⵉⵏ
component: ⵉⵙⴳⵔ
components: ⵉⵙⴳⵔⴰⵏ
composed: ⵓⴷⴷⵉⵙ
composition: ⴰⵙⵓⴷⴷⵙ
composition: ⵜⵓⴷⴷⵙⴰ
compositor: ⴰⵎⵙⵓⴷⴷⵙ
compound: ⵓⴷⴷⵉⵙ
compounds: ⵓⴷⴷⵉⵙⵏ
comprehensive: ⵓⵙⵎⵉⴷ
compression: ⵜⴰⵔⵏⵓⵙⵙⴷⴰ
computational: ⴰⵙⵏⵙⵍⴽⴰⵎ
computer-science: ⵜⴰⵙⵏⵙⵍⴽⵉⵎⵜ
computer: ⴰⵎⵙⵙⵉⴹⵏ
computers: ⵉⵎⵙⵙⵉⴹⵏⵏ
concentration: ⴰⵏⵏⵓⵎⵎⵙ
concept: ⴰⵔⵎⵎⵓⵙ
concepts: ⵉⵔⵎⵎⵓⵙⵏ
conceptualization: ⴰⵙⵔⵎⵎⵓⵙ
concern: ⴰⵏⵣⴳⵓⵎ
conclusion: ⴰⵙⴼⵍⵓ
condition: ⵜⴰⴼⴰⴷⴰ
conditional: ⴰⴼⴰⴷⴰⵏ
conditionals: ⵉⴼⴰⴷⴰⵏⵏ
conditions: ⵜⵉⴼⴰⴷⵉⵡⵉⵏ
conduction: ⴰⵡⵡⴰⵢ
conference: ⵜⵉⵏⴰⵡⵜ
configuration: ⴰⵙⵡⵍ
conflict: ⴰⵎⵏⵣⴰⵖ
connection: ⵜⵓⵇⵇⵏⴰ
conscience: ⴰⴼⵔⴰⴽ
consciousness: ⴰⴼⵔⴰⴽ
consecutive: ⵓⴹⴼⵉⵕ
conservation: ⴰⵏⵏⴽⵛⴰⴷ
console: ⵜⴰⴷⵉⵡⵏⵜ
constant: ⵉⵎⵣⴳⵉ
constantly: ⵙ ⵜⵙⵓⵍⵜ
constellation: ⵜⴰⵎⵜⵉⵡⴳⵜ
constellations: ⵜⵉⵎⵜⵉⵡⴳⵉⵏ
constituent: ⵉⵙⴳⵔ
constituents: ⵉⵙⴳⴰⵔ
construction: ⵜⵉⵥⴽⵉ
consumer: ⴰⵏⵙⵎⵓⵔ
consumption: ⴰⵙⵙⵎⴰⵔ
container: ⴰⵙⴰⵎⵓ
containers: ⵉⵙⴰⵎⵓⵜⵏ
contains: ⵢⵓⵎⴰ
contemporaneity: ⵜⴰⵎⵉⵔⴰⵏⵜ
contempt: ⵜⴰⵍⴽⴽⴰⵡⵜ
content: ⵜⵓⵎⴰⵢⵜ
contents: ⵜⵓⵎⴰⵢⵉⵏ
context: ⴰⵙⴰⵜⴰⵍ
contexts: ⵉⵙⴰⵜⴰⵍⵏ
continent: ⴰⵎⵏⵥⴰⵡ
continents: ⵉⵎⵏⵥⴰⵡⵏ
control: ⴰⵏⴱⴰⴹ
convert: ⵙⵏⴼⵍⵖⴰ
converts: ⵉⵏⴼⵍⵖⴰ
convolutional: ⴰⵎⵙⵉⵙⴰⵏ
cool: ⵉⵥⵉⵍⵏ
copy: ⵙⵙⵏⵖⵍ
core: ⴰⵖⵢⴰⵢ
corn: ⴰⵇⵇⴰⵢⵏ
correct: ⵉⵖⵜⴰⵏ
correction: ⴰⵖⵜⴰⵢ
corrections: ⵉⵖⵜⴰⵢⵏ
correctly: ⵙ ⵓⵖⵜⴰⵢ
cosmology: ⵜⴰⵙⵏⵎⵖⵔⴰⴷⵜ
cosmos: ⴰⵎⵖⵔⴰⴷ
coulomb: ⴽⵓⵍⵓⵎ
countless: ⵡⴰⵔ ⴰⵙⵉⴹⵏ
countries: ⵜⵉⵎⵉⵣⴰⵔ
country: ⵜⴰⵎⴰⵣⵉⵔⵜ
couple: ⵜⴰⵢⵓⴳⴰ
course: ⵜⴰⵙⵓⵜⵍⵜ
courses: ⵜⵉⵙⵓⵜⴰⵍ
cow: ⵜⴰⴼⵓⵏⴰⵙⵜ
crazy: ⴰⵏⴰⴼⴰⵍ
creation: ⴰⵙⵏⵓⵍⴼⵓ
creative: ⴰⵎⵙⵏⵓⵍⴼⵓ
creativity: ⴰⵙⵏⴼⵍⵓⵍ
creature: ⵜⴰⵖⵏⵏⴰⵡⵜ
creatures: ⵜⵉⵖⵏⵏⴰⵡⵉⵏ
critical: ⴰⵣⵖⵏⴰⵏ
criticism: ⴰⵣⵖⴰⵏ
criticizable: ⵓⵣⵖⵉⵏ
crow: ⴰⴳⵔⴼⵉⵡ
crucial: ⴰⵎⵖⵜⴰⵙ
culture: ⵜⴰⴷⵍⵙⴰ
curds: ⵉⴽⴽⵉⵍ
currency: ⴰⵇⴰⵕⵉⴹ
current: ⴰⵎⵣⴰⵣ
cycle: ⵜⵓⵏⵓⴹⵜ
cytoplasm: ⴰⵙⵉⵜⵓⴼⵍⴰⵥⵎ
daily: ⴰⴽⵓⵢⴰⵙⵙ
dam: ⵓⴳⴳⵓⴳ
dark: ⴰⵎⴰⵍⵍⵙ
darkest: ⴰⵎⴰⵍⵍⵙ ⴰⴽⴽⵯ
darkness: ⵜⵉⵍⵍⴰⵙ
data: ⵉⵙⴼⴽⴰ
dating: ⵜⴰⵙⵙⴰⴽⵓⴷⵜ
day: ⴰⵙⵙ
days: ⵓⵙⵙⴰⵏ
daytime: ⴰⵣⴰⵍ
death: ⵜⴰⵎⵜⵜⴰⵏⵜ
decade: ⵜⴰⵎⵔⴰⵡⴰⵏⵜ
decimal: ⴰⵏⵎⵔⴰⵡ
decision: ⵜⴰⵖⵜⴰⵙⵜ
decisions: ⵜⵉⵖⵜⴰⵙⵉⵏ
decoding: ⴰⴽⵙⵏⴳⵍ
deep: ⵉⵖⴱⵉⵏ
deeper: ⵉⵏⵖⴱⵉ
defeat: ⴰⵜⵜⵡⴰⵔⵏⵓ
defender: ⴰⵏⵎⵣⴰⵖ
defenders: ⵉⵏⵎⵣⴰⵖⵏ
define: ⵙⵏⵎⵍ
definition: ⴰⵙⵏⵎⵍ
definitely: ⵏⵏⵉⵛⴰⵏ
deform: ⵙⵍⵓⵅⵛⵓ
deform: ⵙⵎⵎⵊⴳⵔ
degree: ⵜⴰⵙⴽⵯⴼⵍⵜ
demand: ⴰⵙⵓⵜⵔ
demands: ⵉⵙⵓⵜⴰⵔ
